a.m.,上午
accord,一致、符合
ambition,雄心、野心
America,美國
ankle,腳踝
arrange,整理、排列
attract,吸引、有吸引力
attractive,吸引人的、有魅力的
before,在…以前
belong,應被放置在某處
bore,使煩擾
bravery,勇敢
cabin,小屋、船艙
cast,投射、拋
chain,一系列、鏈條
cheat,欺騙、騙取
clip,夾子、夾住
clue,線索
collar,使戴項圈、抓住...的領口
courage,勇氣
cowboy,牛仔
dawn,頓悟、黎明
dear,可愛的、親愛的
desirable,合意的、令人想要的
dinosaur,恐龍
diplomat,外交官
eager,渴望著、熱心于
educational,教育的、教育性的
exercise,運動、鍛鍊
expression,表情、表達
fantastic,奇妙的
four,四的、四個的
frustrate,挫敗、使灰心
future,將來、未來
geography,地理
girl,姑娘、少女
give,給、送給
grandma,祖母、外祖母
handy,敏捷的、便利的
hard,硬的、堅固的
he,他
hug,擁抱、摟抱
humid,潮濕的
hunter,獵人
income,收入
injure,傷害、損害
jail,監獄、監禁
jealous,猜疑的、嫉妒的
lamb,小羊
lantern,燈籠
laugh,嘲笑、笑
laughter,笑聲、笑
leak,泄漏、漏出
left,左側的、左方的
moisture,濕氣、潮濕
navy,海軍
normal,正常的、常態
own,自己的
owner,物主
pack,背包、包裹
parking lot,停車場
party,集會、聚會
peel,剝落
physical education,體操教育
pink,桃紅色、粉紅色
popcorn,爆玉米花
powder,粉末、使成粉末
prayer,祈禱
price,價錢、價格
realize,實現、認知
reason,理由
reduce,減少、簡化
repair,修理、補救
restaurant,餐館、飯店
robe,長袍、制服
scarf,嵌接處、圍巾
sew,縫紉、縫合
she,她
smoke,煙
someday,有一天
somewhere,到某處、在某處
square,方形物、正方形
start,起程、出發
stepchild,前夫或前妻所生子女
summer,夏天
survival,殘存、幸存者
system,規律、系統
tangerine,橘子
terrific,非常好的、可怕的
Thanksgiving,感恩節
theory,推測、原理
tissue,棉紙、組織
today,今天
us,我們
variety,多樣性、變化
victory,勝利
vivid,逼真的、大膽的
waiter,男侍者、服務生
weekend,週末、週末的休假
wound,傷害、傷口
