appeal,控訴、呼籲
apple,蘋果
autumn,秋季、秋天
bathe,洗澡
belly,漲滿、腹部
blackboard,黑板
breakfast,早餐、早飯
bury,隱藏、掩埋
cabbage,包心菜
capable,能幹的、有能力的
capital,資金、首都
character,特性、角色
charm,魅力、吸引力
chat,聊天
cigarette,香煙、紙煙
confuse,使糊塗、使迷惑
cute,可愛的、小巧玲瓏的
deliver,遞送
detail,詳述、細節
die,死
diet,節食、會議
discount,折扣
discuss,討論
dislike,討厭、不喜歡
dot,點、小圓點
drip,滴下、水滴
drive,開車、車程
drop,滴
east,東方、東
eat,喝、吃
eighteen,十八
fanatic,盲信的、狂熱的
fare,票價、居住
faucet,旋塞、水龍頭
fever,發燒
finger,手指
fisherman,漁人、漁夫
flesh,果肉、肌肉
fly,飛、飛行
fund,資金、投資
furniture,傢具、設備
gasoline,汽油
gradual,逐漸的、漸進的
handle,把手、處理
honesty,正直、誠實
hope,盼望、希望
horn,觸角、喇叭
ignorance,不知、無知
inch,英吋
inform,通知、告訴
jet,黑玉、噴射
job,工作、職業
keyboard,鍵盤
lifetime,終生、一生
link,聯繫、環節
loaf,一條
lunch,午餐、便當
lung,呼吸器、肺臟
may,也許、可能
meeting,集會、會議
minority,少數、少數民族
monster,怪物
Mr.,先生
neck,頸、脖子
never,決不、從未
nobody,沒有人、無人
noodle,麵條
pass,通過、經過
pause,暫停、中止
paw,費力地前進、手掌
personal,個人的
pigeon,鴿子
poison,毒物
poll,民意測驗、投票
quit,放棄、離職
recover,勝訴、痊癒
road,道路、公路
ruin,毀滅
sail,航行
sailor,水手
sake,理由、日本米酒
salary,給...加薪、薪水
seem,似乎是
short,矮的、短的
sip,吸吮
slim,細長的、微小的
smell,嗅、聞
someone,有人
stairs,樓梯
suitable,適當的、相配的
technique,技術、方法
telephone,電話
then,那時、當時
third,第三的
tiny,微小的
tourist,旅遊者、旅行者
twin,成對、相似的
warm,暖和的、溫暖的
with,偕同、與…一起
workbook,習題簿、練習簿
