across,穿過、橫越
adopt,採用、收養
armchair,扶手椅子
artist,藝術家
beside,在旁邊、在…近旁
big,大的、成功地
blood,血
border,邊境、國界
burden,擔子、負擔
burglar,夜賊
butterfly,蝴蝶
cattle,牛、家養牲畜
congratulation,祝賀
cousin,堂表兄弟、堂表姐妹
creator,創建者、創作者
cultural,文化的
decision,決定
direct,直接的、指引
divide,分開、除以
dodge,避開、躲避
downtown,城市商業區
drugstore,藥房
ear,耳
employment,工作、僱用
end,盡頭、末端
even,平坦的、甚至
exit,出口、退場
expectation,期待、期望值
fate,運氣、命運
favorite,受寵的人、親信
festival,喜慶日、節日
few,很少數的、幾乎沒有的
frighten,害怕、吃驚
golf,高爾夫球
health,健康
his,他
hollow,空的、虛偽的
hot,熱的
hurt,使受傷
into,到…裡
invent,發明
kill,宰、殺死
koala,無尾熊
lack,缺乏
lady,淑女
lend,把…借給
litter,垃圾、亂丟
magician,魔術師
math,數學
memorize,記住、記憶
message,音信、消息
midnight,午夜
modern,現代的、近代的
mud,泥巴
odd,單數的、奇數的
ordinary,平常的
our,我們
out,向外、在外
pancake,薄烤餅
pay,支付、工資
pet,寵物、供玩賞的動物
picnic,聚餐、郊遊
prevent,預防、防止
production,製造、生產
pull,拉、拖
quick,迅速的、快的
replace,取代、替換
respond,回答、作出反應
response,回答、反應
roll,捲、滾
scientific,科學的
secret,秘密
shampoo,洗髮、洗髮精
shut,關閉
skin,皮膚
smile,微笑、笑
south,南方、南
speed,速度
strange,不可思議的、奇怪的
stupid,笨的、愚蠢的
sufficient,充份的、足夠的
talk,演講、講話
taxi,計程車
territory,版圖、領土
ticket,車票、入場券
tidy,整齊的、整潔的
tired,疲倦的
tortoise,遲緩的人、龜
trader,商人、商船
tug,拖船、用力拖
tummy,腹瀉、肚子
upper,較高的
usually,慣常地、通常地
valley,山谷
verse,韻文、詩篇
vest,歸屬、背心
windy,刮風的、風大的
winter,冬季、冷天
wrist,腕關節、手腕
youngster,年青人、少年
