advertisement,廣告、做廣告
afterwards,然後、後來地
assist,幫助、援助
attack,攻擊、進攻
band,樂隊、帶
bay,海灣、狗吠聲
because,因為
beyond,越出、在更遠處
boss,上司、老板
bunch,串、捆成一束
but,但是
butter,黃油、奶油
cafeteria,自助餐館
China,中國
Christmas,聖誕節、耶誕節
client,顧客、客戶
climate,氣候
collection,收藏、捐款
comb,梳子、用梳子梳理
connect,連接、關連
court,法庭、網球場
coward,懦弱的人、膽小的人
cut,剪、切
desert,懲罰、沙漠
dodge ball,躲避球遊戲
donkey,驢子
Easter,復活節
either,兩者之中任一的
election,選擇權、選舉
enter,進入
expect,期待
factory,製造廠、工廠
fix,牢記、使固定
flat tire,爆胎
flavor,風味、香料
float,漂浮、浮動
grow,發育、成長
guide,引導、嚮導
gym,體育館、健身房
half,一半、二分之一
heel,跟部、腳後跟
hello,你好、喂
help,幫助
hi,你好、嗨
hot dog,熱狗
ignore,不理睬
individual,個人的、單獨的
insist,堅持
jewel,寶石
joy,高興、歡樂
June,六月
light,光線、光
lightning,閃電
lion,獅子
man,成年男子、男人
manner,舉止、態度
million,百萬
Monday,星期一
musician,音樂家
nickname,綽號、昵稱
operator,操作員、經營者
PE,體操教育
pencil,鉛筆
photo,相片
rank,等級、秩
riddle,謎語、迷惑
rock,岩石、搖動
romantic,浪漫的、空想的
root,根
row,划船、行列
sale,賣、出售
sample,樣品
sandwich,三明治
scary,引起驚慌的
section,斷面、節
September,九月
shake,奶昔、搖動
shame,羞愧、羞恥
shark,鯊魚
shoe,鞋
shorten,使變短、縮短
sir,長官、先生
snail,蝸牛
social,交際的、社會的
space,空間
spider,蜘蛛
spit,吐出、發射
steep,懸崖、陡峭的
team,隊、組
thank,感謝
the,那個、這個
Thursday,星期四
tonight,在今晚
transport,傳送、運輸
tropical,熱情的、熱帶的
trunk,軀幹、樹幹
video,錄影節目、錄影
volume,體積、音量
weed,雜草、剷除
worm,蠕蟲
