above,在…上面
accident,事故、意外事件
again,再、再一次
arrival,到來、到達
August,八月
badly,惡劣地、嚴重地
bare,無遮蔽的、赤裸的
bingo,答對了
bottom,下端、底部
brilliant,閃耀的、有才氣的
brush,刷子、刷
cent,美分
center,中心、中央
chemistry,化學
clerk,職員、店員
colorful,富有色彩的
continue,繼續
crash,爆裂聲、墜毀
crazy,蠢的、瘋狂的
culture,文化
dad,父親、父
dangerous,危險的、不安全的
decide,決定、決意
description,描寫、描述
destroy,破壞、摧毀
disease,疾病、弊病
dizzy,暈眩的
earn,賺到
earth,地球
egg,蛋、雞蛋
elect,選出
fade,凋謝、褪色
father,父親、父
fight,戰鬥、打架
finish,完成、結束
fist,拳頭、緊握
flight,飛行
graduate,畢業生、研究生
hamburger,漢堡
happen,偶然發生
hate,仇恨、憎恨
here,在這裡、這裡
highway,公路、幹道
idea,主意、計劃
identity,恆等式、身份
include,包含
indeed,甚至、確實
instrument,儀器
island,島
it,它、這
just,正好、恰好
key,鑰匙
kid,小山羊、小羚羊
knowledge,學問、知識
land,陸地
language,語言、語言文字
lead,領路、引導
lifeguard,救生員
lighthouse,燈塔
millionaire,百萬富翁、大富豪
miracle,奇跡、奇事
missile,發射物、導彈
needle,針
object,物件、反對
officer,軍官
operation,操作、手術
p.m.,下午
pear,梨子
piece,一張、一塊
poster,海報、張貼者
practical,實際的、實踐的
pretend,裝扮、假裝
process,處理、過程
puzzle,謎、使迷惑
radio,無線電、無線電話
raisin,葡萄乾
religious,宗教上的、虔誠的
rent,租金、租借
sand,沙
scout,偵察、跟蹤
second,第二次的、第二的
senior high school,高中
shave,剃、刮
shine,照耀
shop,商店、零售店
shoulder,肩、肩膀
stiff,艱難的、殭硬的
stove,爐灶
symbol,象徵、符號
table tennis,乒乓球
technical,技巧的、技術的
temperature,溫度
three,三個的、三的
title,頭銜、標題
too,過分、太
valuable,有價值的、貴重的
various,多樣的、不同的
vendor,小販
where,哪裡
yummy,好吃的
