actress,女演員
along,順著、沿著
and,與、和
around,到處、四處
aside,在旁邊、到旁邊
awake,覺醒、覺悟
bake,烤、烘
baseball,棒球運動
basement,地下室
begin,著手、開始
boot,靴子、靴
brother,兄弟
bun,小圓麵包
button,扣鈕扣、鈕扣
call,叫喊、呼叫
cell phone,行動電話、手機
chair,椅子
cheap,便宜的、價廉的
cheer,歡呼、喝采
choke,窒息、阻塞
circus,馬戲團、雜技團
clock,時鐘
close,關閉、蓋上
computer,電腦、電子計算機
contract,感染、契約
convenient,便利的、方便的
copy,副本、複製
desk,書桌、辦公桌
develop,發展
dish,碟、盤
dive,跳水、潛水
doll,玩偶、洋娃娃
draw,繪製、描寫
earnings,收入、所得
evil,誹謗的、邪惡
expense,代價、費用
famous,出名的、著名的
final,最終的
fire,火
fit,合身、適合
flower,花卉、花
fold,抱住、折疊
forest,森林
fresh,未加工的、新鮮的
fur,毛皮、毛
gentle,溫柔的
gentleman,紳士
gossip,閑談、閒話
harmful,傷害的、有害的
hey,喂、嗨
housekeeper,女管家、主婦
ice cream,冰淇淋
introduce,介紹
January,一月
joke,笑話、開玩笑
lawyer,律師
lie,撒謊、躺
living room,客廳
mall,購物商場、商業街
management,管理、操縱
map,地圖
march,行軍、前進
must,必須、得
only,僅有的、唯一的
origin,起源、原點
outside,外部、外面
overseas,國外的、在海外
parade,檢閱、遊行
plain,簡樸的、清楚的
railroad,鐵路
rest,休息、休養
result,結果
school,學校
selfish,自私的
serve,服務
sin,過失、罪過
skyscraper,摩天樓、高叢的煙囪
slice,薄片、部份
sorry,感到難過的、感到可憐的
sound,聲音、響聲
splash,潑、飛濺
stable,穩定的
stream,流、溪流
stubborn,固執的、堅定的
surf,海浪、衝浪
take,拿、取
these,這些
thumb,拇指
to,往、到、向
tongue,舌頭
treat,對待、治療
under,在…下方、在…下面
upset,沮喪的、懊惱
USA,美國
vase,花瓶、瓶
vegetable,蔬菜、青菜
weep,流淚、哭泣
why,為什麼
without,不、沒有
xylophone,木琴
