a,一
act,法案、行動
altogether,完全地、總共
appreciate,感激、賞識
approve,滿意、贊成
beast,畜牲、人面獸心的人
bee,蜂、蜜蜂
beggar,乞丐
blame,歸咎於
brick,磚塊
bridge,橋樑、橋
can,能、會
carpenter,木匠
cherry,櫻桃、櫻桃樹
chicken,雞、小鳥
chopsticks,筷子
classical,古典的、正統派的
comment,評論
committee,委員會
cry,哭
depend,依賴
disk,圓盤、磁盤
dolphin,海豚
drawer,抽屜
duck,鴨
error,錯誤
event,事件
excuse,原諒
familiar,熟悉的、親近的
farther,進一步的、此外
feather,羽毛、輕的東西
finally,終於、最後
follow,跟隨
garage,車庫
goal,目標、球門
grain,顆粒、穀物
group,組、群
guitar,吉他
helpful,有益的、有幫助的
however,不過、然而
hurry,催促、使趕緊
I,我
internal,國內的、內在的
jeans,牛仔褲、工裝褲
jump,跳躍、跳
lawn,草坪、草地
leave,離開
live,活、活著
lively,活躍的、栩栩如生的
look,看
March,三月
microphone,麥克風、擴音器
motion,移動
move,使移動、開動、搬動
musical,悅耳的、音樂的
nail,指甲、釘子
notebook,筆記本、手冊
novelist,小說家
of,…的、屬於
orphan,孤兒的、孤兒、使成孤兒
ourselves,我們
passage,通過、通道
passenger,乘客
pillow,枕頭
player,遊戲的人、下棋的人
positive,正面的、確信的
pretty,可愛的、漂亮的
pure,純粹的、抽象的
quarter,15分鐘、四分之一
ray,放射、光線
ready,準備好的
really,確實、實際上
record,錄音、記錄
refrigerator,冷凍庫、冰箱
request,邀請、請求
revise,校訂、更改
ripe,熟的、成熟的
rub,磨擦
schedule,進度表、時間表
seize,逮住、奪取
single,獨身的、單一的
size,大小、尺寸
snow,雪
society,社會
softball,壘球
sorrow,悲痛、悲哀
spend,花費、花錢
statue,以彫像裝飾、彫像
stingy,小氣的
stomach,胃部、容忍
strong,強壯的、強健的
such,如此的
sunny,陽光充足的、暖和的
surprised,感到驚訝的、出人意外的
swift,立刻的、敏捷的
trip,行程、旅行
vanish,消失、突然不見
vehicle,車輛、交通工具
wish,但願
year,一年、年
