admire,欣賞、欽佩
affect,波及、影響
angel,天使
awaken,喚醒、醒來
beginner,新手
between,在…之間
bring,帶來、拿來
build,建築、造
burn,發熱、發光
camera,照相機
care,看護、保護
carriage,馬車、姿態
childhood,幼時、孩童時期
chubby,圓胖的
church,教堂、禮拜堂
clothes,服裝、衣服
cloud,雲
coin,硬幣
credit,信用、信任
dead,死的、枯的
deal,交易、處理
determine,測定、確定
disappointment,失望
domestic,家庭的、國內的
dumpling,餃子
each,各自的
employer,僱主、老闆
energetic,積極的、精力充沛的
enjoy,欣賞、享受
erase,擦掉、抹去
excellence,優點、優秀
fifty,五十的、五十個的
fish,魚類、魚
frank,坦白的
game,遊戲、運動
gas,瓦斯、氣體
glasses,眼鏡
grandmother,祖母、外祖母
grin,露齒笑、裂口笑
high,高的
ideal,完美的、理想的
justice,審判、正義
kangaroo,袋鼠
kidney,腎、個性
kitten,小貓
knot,節、打結
lengthen,延長、使變長
liar,說謊者
liberal,自由主義的、慷慨的
lifeboat,救生艇
loud,響亮的、大聲的
machine,機械、機器
magical,不可思議的
mail,郵件、郵遞
meat,肉
network,網狀物、網路
obey,服從
pants,寬鬆的長褲、褲子
penny,便士、美分
physics,物理
picture,照片、圖片
pipe,管子
plastic,塑膠的、塑造的
pleasure,愉快
pop music,流行音樂
population,人口
possible,可能的
preparation,預備、準備
purple,紫色
quarrel,吵架、爭論
represent,表現、象征
rug,墊子、地毯
ruler,支配者、統治者
salt,鹽
saucer,碟子、茶碟
sea,海洋、海
seat,座、座位
see,看見、看到
seldom,很少、不常
sentence,句子
shortly,簡略地、立刻
slave,奴隸、辛勤努力
spaghetti,義大利麵條、意大利式細麵條
state,狀態、州
steal,偷竊
sting,針刺、刺激
suspicion,猜疑、懷疑
temporary,臨時的、暫時的
text,正文、原文
theater,電影院、劇場
tighten,變緊、拉緊
trust,信任
typewriter,打字機
uncle,叔父、伯父
wage,工資、發動
wash,洗滌、洗
wet,濕的、潮濕的
win,在…中獲勝、成功
yoga,瑜伽
youth,青少年時代、青少年
