absent,不在場的、缺席的
airport,機場、航空站
aunt,舅母、伯母
available,有用的、可利用的
bag,袋、提袋
beer,啤酒
billion,十億
bitter,苦的、嚴酷的
bless,保祐、祝福
bright,發亮的、明亮的
broadcast,廣播
bud,蓓蕾、發芽
catch,接住、抓住
chart,圖表
crew,全體人員、機組人員
crispy,易碎的、香脆的
customer,顧客
daddy,父親、父
dare,膽敢、挑戰
deepen,加深、深化
deer,鹿
delivery,交付、遞送
distance,距離
drunk,喝醉了的
dry,乾的、乾燥的
duty,關稅、責任
everybody,每人、人人
exchange,交換、交易
feel,感受
file,文件、歸檔
fill,填滿、裝滿
foreign,外國的
forward,前面的、向前地
friendship,友誼、友好
from,從…起、始於
gain,得到、增進
gram,鷹嘴豆、公克
ground,地面
handsome,健美的、英俊的
have,曾經、已經
horse,馬
how,怎麼
image,圖象、想象
impress,留下印象、蓋印
independent,獨立的
jazz,爵士樂
journey,旅程、旅行
junk,垃圾、舢板
kingdom,王國
limb,翼、肢
market,市場、市集
mental,精神的、智力的
method,方法
mommy,母親、媽媽
motor,電動機、發動機
murder,凶殺、謀殺
nice,好的、美好的
nine,九的、九個的
nut,核果
palace,宮、宮殿
perhaps,大概、或許
permit,許可、執照
pizza,披薩
position,位置
postage,郵資
produce,製造、出產
promise,答應
provide,供應
quote,提出、引用
reaction,反作用、反應
recognize,認可、賞識
red,紅的、紅色的
relax,放鬆、休息
rob,搶劫、搶掠
robbery,搶掠、搶奪
robot,機器人
round,圓形的、球形的
scene,景色、場面
seventeen,十七
significant,有意義的、重要的
silence,寂靜
sister,姐妹
sixteen,十六
skip,跳躍、急速改變
slow,遲緩的、慢的
storm,猛攻、暴風雨
straw,吸管、稻草
street,街道、街
sun,太陽
superior,上級的、出眾的
thousand,一千個的、一千的
thunder,雷
tune,調音、和諧
type,類型、打字
typical,典型的、象征性的
usual,例常的
victim,犧牲品、受害人
Walkman,隨身聽
wealthy,豐裕的、富有的
worker,勞動者、工人
