activity,活動、行為
adviser,指導老師、顧問
advisor,指導老師、顧問
amazement,驚異、驚愕
among,在
apologize,道歉
baby,嬰兒
bandage,繃帶
base,基部、底
bathroom,浴室
box,箱、盒
brave,勇敢的
cancer,癌症
capture,奪取、捕獲
careless,粗心的
case,事實、實情
central,中央的
cheek,厚顏、臉頰
clap,拍手、鼓掌
classmate,同班同學
coconut,椰子
complain,抱怨
countable,可計算的、可數的東西
cradle,搖籃、發源地
curtain,窗簾、幕
dirty,污穢的、髒的
discussion,討論
dresser,衣櫃
easy,不費力的、容易的
efficient,能幹的、有效率的
employ,使用、僱用
excite,使激動、使興奮
fairy,精靈、仙女
fax,傳真
fee,費用
freezing,冰凍的、極冷的
full,充滿的、滿的
harbor,海港
head,頭
heart,心臟、胸
impolite,沒禮貌的
invite,邀請
lobster,龍蝦
mankind,人類、男子
mask,面具
mature,成熟的、到期的
medium,媒介、中間的
memory,記憶
monk,修道士、僧侶
most,最多的、最高程度的
native,本國的、天賦的
natural,天然的
notice,貼示、通知、公告
opposite,對立的、相反的
orange,柳橙、橙
owe,歸功于、感激
ox,公牛
paradise,天堂
pepper,胡椒、辣椒
permission,允許、許可
piano,鋼琴
platform,月台、平台
praise,讚美
proud,有自尊心的、驕傲的
quiet,安靜的、沈默的
refuse,拒絕
right,右邊的、正確的
roof,屋頂
save,救、挽救
science,科學
scientist,科學家
ship,艦、船
sight,景象、視力
sincere,誠懇的、真誠的
sing,唱、唱歌
slippers,拖鞋
snack,小吃、點心
snowy,多雪的、似雪的
soul,靈魂
speak,講話、說話
spray,浪花、噴霧
station,車站
studio,攝影棚、工作室
summit,最高階層、政府首腦的
sweep,掃、掃除
teacher,老師、教師
tease,欺負、戲弄
they,他們、她們
thread,線索、線
tiger,老虎
tight,緊的、不透氣的
tip,小費、使傾斜
toothache,牙痛
Valentine,情人節
very,很、非常
weaken,使變弱、削弱
wheel,輪子
whip,鞭打、鞭子
yawn,張開、打呵欠
yours,你、你們
