account,理由、帳目
ago,在…以前
appear,顯露、出現
art,美術、藝術
ax,斧頭、削減
background,背景、後台
balcony,陽臺
barber,男理髮師
believe,相信、信任
blow,刮、吹
bored,麵包
bowl,碗
bundle,捆、大量
circle,圓、圓圈
communicate,感染、溝通
current,當前的、現在的
devil,惡棍、魔鬼
difficulty,困難
dining room,餐廳
direction,方向
due to,由於
edge,邊緣、優勢
eighty,八十
ever,從來、至今
excited,興奮的、激動的
export,出口、輸出
fashionable,流行的、時尚的
fasten,使固定、拴緊
gesture,手勢、姿勢
god,上帝
guidance,領導、指導
haircut,理髮
handkerchief,手帕
iron,熨斗、鐵
ketchup,番茄醬
kick,踢
kite,風箏、空頭支票
know,了解、知道
lonely,單獨的、孤獨的
mob,暴徒、成群暴動
necklace,項鍊
necktie,領帶
niece,外甥女、侄女
none,無一人或物、毫無
north,北、北方
off,隔開、離開
on,在…上
pain,疼痛、痛苦
panic,恐慌、驚慌
parcel,打包、包裹
participate,參與、分擔
pavement,公路、人行道
pearl,珍珠
people,人們
pick,選擇、挑選
priest,牧師、神父
prince,王子
probable,很可能的、大概的
put,擺、放
railway,鐵道、鐵路
regional,地域性地、整個地區的
remain,保持、剩餘
renew,使恢復、更新
reporter,記者
reveal,暴露、顯示
salad,沙拉
search,搜尋、搜查
service,服務
seventh,第七個的、第七的
sex,男性或女性、性別
since,此後、從那時到現在
something,某人、某事
speech,演講、言論
spell,用字母拼、拼寫
stadium,露天大型運動場
strike,攻擊、罷工
summary,概要、摘要
surprise,驚奇、詫異
survivor,生還者、殘存物
suspect,不可信的、可疑的
tape,線帶、帶子
temper,情緒、心情
thankful,感激的、感謝的
thing,物、東西
though,雖然、儘管
tickle,逗笑、搔癢
traditional,傳統的
trousers,長褲
truck,卡車、載貨汽車
upstairs,樓上的、樓上
vary,使多樣化、改變
voice,嗓子、聲音
volleyball,排球
wax,蠟、月亮漸滿
week,一星期、週
welcome,歡迎光臨
wide,寬的
wind,纏繞、蜿蜒
window,櫥窗、窗戶
wrap,披肩、包裹
