able,能、會
accurate,精確的、正確的
ad,廣告
additional,另外的、附加的
all,一切的、所有的
apartment,公寓房間
asleep,睡著的
baby sitter,保姆
backpack,背包
blind,盲的、瞎的
blouse,女裝短上衣
boy,男孩、少年
brunch,早午餐
celebrate,慶祝、表揚
Chinese,中國的
clever,聰明伶俐的
conversation,會話
daily,每日的、每日
disc,唱片
dragon,龍
drowsy,催眠的、昏昏欲睡的
elephant,象
engage,使忙碌、使參加
envelope,信封
evening,傍晚、晚上
fable,謊言、寓言
feature,特徵、放映
flag,旗子
gift,禮品
glow,發熱、發光
government,政府
guard,警衛、看守
hallway,走廊
ham,火腿
healthy,健康的、健全的
helmet,頭盔、鋼盔
inn,住旅館、客棧
instruction,教育、指示
interested,關心的、感興趣的
jam,果醬
journalist,新聞工作者
keep,持有、保有
kilogram,公斤
magazine,雜誌
mango,芒果
marble,彫刻品、大理石
metal,金屬
missing,缺少的、不見的
mop,擦去、拖把
movement,動作
Ms.,女士
neighbor,鄰居
nest,巢
noble,貴族的、高貴的
observe,觀察、遵守
other,兩者中另一個的、其餘的
ought to,應該
passport,護照
paste,漿糊、黏貼
perfect,完美的
pickle,泡菜、醃漬品
playground,操場、運動場
pleased,欣喜的
pollute,弄臟、污染
potato,馬鈴薯
protection,保護
pub,酒館、客棧
pumpkin,南瓜
queen,女王
question,詢問、問題
score,刻痕、得分
send,寄、發送
sensitive,敏感的、靈敏的
side,面、側
sink,沉下、洗物槽
so,那麼、非常
soap,肥皂
soldier,軍人
spot,斑點、沾污
star,恆星、天體
stepmother,繼母
substance,物質、實質
suburb,郊區、市郊
suicide,自毀、自殺
tank,槽、坦克
technology,科技、技術
topic,話題、論題
truthful,誠實的、說實話的
turtle,烏龜
typhoon,颱風
unless,除非、如果不
useful,有益的、有用的
vacation,假期、休假
wagon,貨車、四輪馬車
wallet,皮夾
waste,浪費
wrong,不對的、錯誤的
yeah,是、是的
zone,地區、地帶
zoo,動物園
