achieve,達到、完成
argue,爭論
ash,岑樹、灰燼
audience,聽眾、觀眾
bank,銀行
bark,吠聲、狗叫
bench,長凳、長椅
bike,腳踏車、自行車
black,黑色的、黑暗的
book,著作、書本
centimeter,公分
century,一世紀
cereal,麥片
charge,充電、費用
chase,追
chocolate,巧克力
choose,選擇、挑選
compete,競爭、比賽
consideration,考慮、體諒
cool,涼快的
correct,對的、正確的
country,國土、國家
crab,螃蟹
crowd,群眾
custom,習俗
deep,深的
democracy,民主政治、民主主義
department,部門
different,不同的
difficult,困難的
dig,挖、掘
disappoint,使失望
do,製作、實行
education,教育
energy,精力、能量
everywhere,到處
faith,約定、信念
fashion,流行、方法
feed,吃、餵養
foot,足、腳
fourteen,十四
glance,匆匆一看、一瞥
gymnasium,體育館、健身房
heaven,天空、天堂
ice,冰
influence,影響
international,國際的
lazy,懶惰的、怠惰的
leisure,閒暇、悠閑
limit,限定、限度
lucky,幸運的、好運的
luggage,皮箱、行李
majority,多數、成年
maybe,大概、可能
meal,一餐、膳食
mechanic,技工
middle,中間的、中央
might,也許、可能
minute,分鐘
national,全國性的
necessary,需要的
note,注意、筆記
obvious,顯而易見的、明顯的
original,原始的、獨創的
painter,畫家、油漆匠
pale,界線、蒼白的
partner,夥伴
please,使喜歡、使高興
property,財產、特性
republic,共和國、共和的
rude,無禮的
satisfy,使滿意
sheep,羊、綿羊
snake,蛇
somebody,某人
soon,不久、很快地
spin,旋轉、紡紗
spoil,損壞、寵壞
swan,天鵝
together,一起、共同
tomorrow,明天
tooth,牙齒
which,哪一些、哪一個
world,地球、世界
