a little,稍許的、少量的
accept,接受
advantage,利益、優勢
adventure,冒險、冒險的經歷
agriculture,農業、農藝
air-conditioner,空調機
allow,允許
another,再一、又一
athlete,運動員、運動選手
bait,誘惑物、餌
basic,基本的
beach,海濱度假地、海灘
bell,門鈴、鐘、鈴
bicycle,腳踏車、自行車
boring,鑽孔用的
borrow,借入、借
bride,新娘
chin,下巴
cola,可樂
complex,合成的、綜合的
conscious,故意的、有意識的
creative,創造性的
crown,王冠、表彰
cup,杯子
define,詳細說明、定義
definition,定義、精確度
discover,發現
dishonest,不誠實的
electricity,電、電流
eleven,十一的、十一個的
envy,羨慕、嫉妒
fact,事實
February,二月
fifth,第五的
foreigner,外國人
freezer,冰箱的冷凍部、冷凍箱
fun,樂趣、娛樂
go,去、離去
hang,把…掛起、吊
hell,地獄、該死
homework,家庭作業
imagination,聽覺、想象力
import,重要、進口
July,七月
kiss,吻
kitchen,廚房
knee,膝蓋、膝、膝部
knife,手術刀、小刀
lesson,功課、課業
list,目錄、表
low,低的、矮的
maximum,最大限度的、最高極限
mission,使命、任務
motorcycle,摩托車
mouth,嘴
need,需要、必要
nephew,外甥、侄子
nose,鼻
not,不
open,打開的
optimistic,樂觀的
or,還是、或者
peach,桃子
place,位置、地點
plumber,水管工人
push,推進、推動
quiz,小考
razor,剃、剃刀
rectangle,長方形
respect,尊敬
rid,使擺脫、使去掉
scholar,學者
scholarship,學問、獎學金
seal,海豹、密封
sensible,明智的、有判斷力的
shrimp,蝦子
shrink,收縮、縮短
skate,溜冰、冰鞋
soy sauce,醬油
spring,春季、春天
starve,餓得要死、使餓死
steam,蒸、蒸氣
stop,停止、中止
strategy,策略、軍略
swimsuit,泳衣
Taiwan,臺灣
that,那個
toilet,馬桶
tourism,觀光事業、遊覽
turkey,火雞
twelve,十二個的、十二的
two,兩個的、二的
underpass,地下通道
understand,懂、理解
unique,獨特的
violent,暴力的、猛烈的
weather,天氣
west,西、西方
what,什麼
zipper,拉練
