alley,巷、小路
already,先前、已經
army,軍隊、大群
away,離開
barbecue,烤肉
berry,漿果
bird,禽、鳥
bite,啃、咬
bread,麵包
by,由、被
cable,有線電視、纜索
canoe,獨木舟、輕舟
castle,城堡
comfortable,使人舒服的、舒適的
common,常見的、普通的
cycle,自行車、循環
dairy,酪農業、乳製品
difference,差別
drink,喝、飲
echo,回聲、回音
electronic,電子的
enough,足夠的、充足的
especially,特別地
except,除…之外
fall,跌倒、落下
farmer,農場主、農夫
fat,肥胖的
forever,常常、永遠
gather,集合
global,球形的、全球的
gold,黃金、金製的
golden,金色的
good,好的、令人滿意的
greet,問候、致敬
guava,番石榴
hippo,河馬
holy,神聖的、聖潔的
instead,更換、代替
jog,輕推、輕搖
journal,定期刊物、雜誌
least,最少的、最小的
likely,有可能的
mad,發火、發瘋
male,雄性動物、男性的
manage,管理、運用
mat,墊子、蓆子
milk,乳、牛奶
mom,母親、媽媽
more,更高程度的、更多的
mouse,鼠
movie,影片、電影
nineteen,十九
now,現在、目前
page,頁
patience,耐性、忍耐
pattern,模式、圖案
pie,餡餅、派
poem,詩
political,行政上的、政治的
pork,豬肉
pour,倒、傾瀉
progress,進步
racial,種族的、人種的
recycle,回收
rice,穀、稻
shadow,盯梢、陰影
sheet,一張、床單
shovel,鏟、鐵鏟
silly,傻的、無聊的
sit,坐著、坐
sixty,六十
specific,明確的、特殊的
spirit,精神
spy,偵察、間諜
stare,凝視、盯著看
sticky,粘性的、粘的
still,仍舊、還
stitch,縫針、縫合
stone,石頭
sword,劍
tablet,藥片、寫字板
tea,茶、茶葉
textbook,教科書
tofu,豆腐
toss,投、擲
tradition,傳統
troop,結隊、群集
trouble,煩惱、憂慮
turn,使轉動、使旋轉
twice,兩次
United States of America,美利堅合眾國
vice-president,副總裁、副校長
vote,投票
wall,圍牆、城牆
want,想要、要
warn,通知、警告
we,我們
wear,塗抹化妝品、穿著
web,圈套、網
whether,是否
