actor,男演員
although,雖然、儘管
announcement,發表、公告
anywhere,任何地方
approach,靠近、方法
arrive,到來、到達
attempt,企圖、嘗試
auto,汽車
baggage,行李
be,正在…、在…
bleed,使出血、放血
bus,公車、巴士
cap,帽子、制服帽
card,紙牌
champion,擁護、冠軍
city,城市、都市
clinic,門診部、臨床
Coke,可口可樂
college,學院、大學
colony,殖民地
color,顏色、色彩
complaint,抱怨、訴苦
concert,音樂會、一致
conclusion,結論、締結
cookie,小麵包、餅乾
cross,十字形記號、十字形
curve,曲線
decrease,減少
design,設計、圖案
dramatic,生動的、戲劇性的
early,早的、提早的
embarrass,使困窘
engine,發動機、引擎
escape,避開、逃脫
everyone,每人、人人
flute,橫笛
fool,呆子、愚弄
garbage,垃圾、廢物
grab,奪取、搶奪
granddaughter,孫女、外孫女
grandson,外孫、孫子
grasshopper,蚱蜢、小型偵察機
great,大的
greedy,貪心的
greenhouse,溫室、花房
hall,講堂、大廳
Halloween,萬聖節
hen,母雞
historical,歷史的、有關歷史的
hometown,故鄉
honor,榮譽、敬意
humor,幽默
hunger,饑餓
if,如果
innocent,天真的、無罪的
later,較晚的、更晚的
law,法律
learn,學會、學習
less,較小的、較少的
liberty,特權、自由
lick,舔
local,本地的、當地居民
lose,喪失、丟失
mailman,郵差、郵遞員
manners,禮貌
mathematics,數學
meadow,草地、牧場
mystery,神秘的事物、神秘
neighborhood,附近、鄰近
ninety,九十
noon,中午、正午
outer,遠離中心的、外部的
overweight,超重的、過重的
pill,彈丸、藥丸
pool,水池、美式撞球
product,乘積、產品
proposal,提議、建議
rabbit,野兔、兔
rise,起身、升起
sad,悲哀的、令人悲痛的
salesman,售貨員
scarecrow,衣衫襤褸的人、稻草人
show,顯示、露出
sneaky,鬼鬼祟祟的
stand,站著、站立
stir,攪和、激起
stormy,暴怒的、激烈的
study,研究、學習
stuff,填滿、原料
talkative,好說話的
thirty,三十的、三十個的
threat,威脅、恐嚇
top,頂部、陀螺
travel,旅行
treasure,財寶、珍愛
TV,電視、電視廣播
van,先鋒、有篷貨車
whose,誰的
word,詞、單字
yourselves,你、你們
