advanced,高級的、先進的
aim,目標、目的
air conditioner,冷氣機
announce,宣佈、通告
area,面積、地區
ask,詢問、問
back,背部、背脊
beautiful,美麗的、漂亮的
beauty,美貌、美人
behave,行為表現、舉止
body,身體、肉體
bottle,瓶子
budget,預算
camp,帳篷、營地
campus,校園、大學教育
cause,理由、原因
chess,西洋棋
chewing gum,口香糖
chimney,燈罩、煙囪
coast,海岸
corn,玉米
cotton,棉花
dance,舞蹈、跳舞
dark,暗、黑暗的
deaf,聾的
diligent,用功的、勤勉的
dog,狗
dress,打扮、給…穿衣
eraser,擦除器
example,樣本、例子
extreme,偏激的、極端的
fifteen,十五的、十五個的
former,前者
fountain,噴泉、泉水
glove,手套
glue,黏住、膠水
grandpa,外祖父、祖父
hairdresser,美容師、理髮師
hand,手
hard-working,勤勉的、努力工作的
harm,傷害、損害
hesitate,猶豫、躊躇
hint,線索、提示
holiday,節日、假日
humble,微賤的、謙恭的
hunt,追獵
insect,昆蟲
kit,工具箱、成套工具
label,標籤、標注
like,喜歡
listen,聽、留神聽
load,加載、負載
lobby,休息室、大廳
make,建造、做、製造
manageable,易處理的、易管理的
May,五月
measure,計量、尺寸
medal,獎章、勛章
microwave,微波爐、微波
miner,礦工
mood,情緒、心情
moral,精神的、道德
mountain,山
nanny,奶媽、保姆
napkin,餐巾
near,近的
neither,也不、兩者都不
news,報導、新聞
next,貼近的、緊鄰的
nothing,沒什麼、無事
O.K.,不錯的、可以的
onion,洋蔥
pity,同情、憐憫
pond,池塘
read,朗讀、閱讀
receipt,收到、收據
ribbon,帶狀物、緞帶
robber,盜賊、強盜
scared,害怕的
separation,分開、分離
shepherd,牧羊人、帶領
shoot,注射、射擊
similar,相似的
soccer,足球
soft drink,汽水
sour,酸的
sprinkle,噴撒
supper,晚餐
teenager,十幾歲的青少年
time,時、時間
tobacco,煙草製品、煙草、抽煙
toe,腳趾
triangle,三角形
tutor,教師、輔導
waist,腰
wait,等待、等
water,水
weight,重量
wonderful,極好的、精彩的
worry,使發愁、使擔心
