abroad,在國外
ahead,事前、預先
ambulance,救護車
anger,生氣
author,創造者、作家
avenue,大街、林蔭道
awful,糟糕的、可怕的
beef,牛肉
benefit,利益、好處
bold,粗體、大膽的
broom,掃帚、掃除
buffet,自助餐、打擊
bush,矮樹叢、襯套
carrot,胡蘿蔔
cat,貓
chalk,粉筆
channel,頻道、海峽
childish,幼稚的
china,陶瓷、瓷器
civil,市民的、公民的
connection,親戚、連接
convenience store,便利商店
cough,咳嗽
crime,犯罪
criminal,犯罪者、犯法的
darling,心愛的人、親愛的
date,日子、日期
December,十二月
dialogue,對話
downstairs,樓下、樓下的
eight,八
English,英國的、英格蘭的
entrance,入口
extra,額外的、附加的
far,遠的
fear,懼怕、畏懼
foolish,愚蠢的
for,為了、為
fork,叉子
form,表格、形成
forty,四十的、四十個的
fox,狐狸
friend,朋友、友人
garden,庭院、花園
genius,天才
host,主人
in,在…裡
industrial,工業的、產業的
introduction,介紹、入門
investigate,研究、調查
juice,蔬菜汁、果汁
junior high school,初級中學
king,國王、君主
knit,編織、結合
level,水平線
library,圖書館、藏書室
life,生命、生存
little,小的、小巧可愛的
mark,標記、記號
mention,提及、論及
moist,潮濕的、潮濕
moment,片刻、瞬間
much,許多、大量的
once,一回、一次
peaceful,和平的、寧靜的
president,校長、總統
project,計畫
representative,代表、典型的
resource,辦法、資源
return,還、回
review,回顧、複習
scarce,稀有的、缺乏的
seek,探索、尋找
shade,顏色深淺、微減
shape,外形、形狀
share,股份、分擔
shelf,架子
shout,呼叫
sick,病人的、有病的
slippery,光滑的、滑的
slope,傾斜、斜面
snowman,雪人
spoon,湯匙、匙
sports,運動的
stay,留下、停留
stereo,立體聲系統、立體聲
stomachache,胃痛
store,貯存
supermarket,超級市場
swear,詛咒、發誓
talent,天才
television,電視、電視廣播
tremble,焦慮、發抖
trick,戲法、欺騙
underwear,內衣
violin,小提琴
vision,顯示、視覺
walk,走、散步
winner,贏家
you,你、你們
