after,在…以後
automobile,汽車
bad,不好的、壞的
bath,浴缸、澡盆
behind,背後、後面
belt,腰帶、帶狀物
Bible,聖經
blank,空白
both,兩個…都
buffalo,水牛、美洲野牛
calendar,月曆、行事曆
carpet,地毯
comfort,安慰、舒適
corner,角落
cupboard,碗碟櫥、食櫥
describe,描述
desire,渴望
diamond,鑽石
dinner,正餐、晚餐
discovery,發明的東西、發現
edition,版、版本
explode,破除、爆炸
farm,農場、畜牧場
flashlight,手電筒
food,食品、食物
forget,忘記
frog,青蛙
glory,光榮、榮譽
guess,推測、猜測
headline,大字標題
hourly,每小時的
indicate,指出
inspire,鼓舞
interest,愛好、興趣
jeep,吉普車
jungle,叢林、生死關頭
knock,相撞、碰擊
laundry,洗衣店、要洗的衣服
lemon,檸檬
lip,嘴唇
lipstick,脣膏、口紅
liter,公升
loser,輸家
loudspeaker,喇叭、擴音器
mail carrier,郵差、郵遞員
main,最主要的
mean,小氣的、吝嗇的
merry,歡樂的、愉快的
model,模型、模特兒
moon,月球
mother,母親、媽媽
name,名字、名稱
naughty,頑皮的
negative,否定的、負面的
occasion,場合、機會
office,辦公室
outline,大綱、輪廓
overcoat,外套大衣
peace,和平
period,一段時間、一堂課
pin,胸針、大頭針
politician,政治家、政客
popular,大眾的、流行的
prize,獎品
relief,安慰、減輕
remove,搬家、消除
reserve,預定、保留
resist,反抗、抵抗
restroom,休息室、廁所
room,室、房間
rose,玫瑰花、薔薇花
screen,屏、銀幕
seed,種子
serious,危急的、嚴重的
shirt,襯衫、男式襯衫
sign,記號、簽字
simple,簡易的、簡單的
smart,時髦的、漂亮的
soda,蘇打、汽水
somehow,不知何故
soup,湯
speaker,揚聲器、演講者
stocking,長襪
sugar,糖
super,超級的
surround,包圍、環境
switch,開關、轉換
table,桌子、餐桌
teapot,茶壺
therefore,因此
touch,碰到、接觸
trace,痕跡、追蹤
universe,領域、宇宙
visit,參觀、拜訪
weak,衰弱的、虛弱的
wise,有智慧的、聰明的
women's room,女廁所
yesterday,昨天
yolk,蛋黃、卵黃
zero,零、零的
