a lot,大量的、許多的
afternoon,下午、午後
age,年齡
airlines,航空公司、航線
album,相簿、集郵簿
as,跟…一樣地、同樣地
attitude,意見、態度
beat,擊敗、敲擊
bookcase,書架
bother,煩擾
bowling,保齡球戲
bucket,鏟斗、水桶
bulb,鱗莖、球形物
cake,糕餅、蛋糕
calm,寧靜的、變安靜
captain,隊長、機長
coffee,咖啡
complete,徹底的、完成
constant,常數、不變的
continent,陸地、大陸
cost,成本、費用
cricket,板球、蟋蟀
dam,控制、水壩
dealer,商人、經銷商
death,死亡
department store,百貨公司
disappear,消失
doubtful,可疑的、疑心的
dream,夢
driver,駕駛員、司機
dump,傾倒、堆存處
educate,訓練、教育
emphasize,強調、著重
environmental,週圍的、環境的
exam,考試
explain,解釋
fake,假造、欺騙
friendly,親切的、友好的
garlic,大蒜、蒜頭
gown,長袍、禮服
guest,客人
hatch,策劃、孵化
headquarters,指揮部、總部
hike,增加、步行
himself,他
increase,增加
instant,即時的、瞬間
Internet,網際網路
interview,面談、採訪
major,成年人、主要的
master,精通、主人
monkey,猴子
MRT,大眾捷運系統
number,數字、數
ocean,海洋
old,上了年紀的、老的
one,一個、一
paper,紙
point,尖、尖端、尖頭
polite,客氣的、有禮貌的
pollution,污染
poor,貧困的、貧窮的
prepare,使…準備好、準備
proof,證明、使不被穿透
protect,保護
race,與
rare,罕見的
reasonable,合理的、講道理的
receive,收到
release,發表、釋放
run,奔、跑
satisfactory,贖罪的、滿意的
scream,喊叫聲、尖叫聲
scrub,灌木、擦洗
servant,雇工
sixth,第六個的、第六的
ski,滑雪橇、滑雪
skillful,有技術的
small,小的、小型的
sock,短襪
somewhat,稍微、有些
son,養子、兒子
special,特殊的、特別的
stamp,印章、郵票
stepfather,繼父
stranger,陌生人
suffer,經歷、忍受
suit,一套衣服、訴訟
swim,游、游泳
tail,尾巴
ton,噸、大量
tree,喬木、樹
tricky,機警的、狡猾的
whistle,鳴汽笛、吹口哨
whole,完整的
wicked,缺德的、惡劣的
wipe,擦、擦去
work,工作、勞動
X-ray,X射線、X光
your,你、你們
